,,,zero_state_prob,zero_state_prob,zero_state_prob,robust_fidelity,robust_fidelity,expressibility_score,expressibility_score,expressibility_entropy,expressibility_entropy
,,,mean,std,count,mean,std,mean,std,mean,std
n_qubits,depth,two_qubit_ratio_target,,,,,,,,,
5,1,0.1,0.8785400390625,,1,0.8785400390625,,,,,
5,1,0.3,0.8812255859375,,1,0.8812255859375,,,,,
5,2,0.1,0.876953125,,1,0.876953125,,,,,
5,2,0.3,0.62451171875,,1,0.62451171875,,,,,
5,3,0.1,0.8646240234375,,1,0.8646240234375,,,,,
5,3,0.3,0.869873046875,,1,0.869873046875,,,,,
10,1,0.1,0.8062744140625,,1,0.9827880859375,,,,,
10,1,0.3,0.818359375,,1,0.983154296875,,,,,
10,2,0.1,0.8114013671875,,1,0.981689453125,,,,,
10,2,0.3,0.698486328125,,1,0.9305419921875,,,,,
10,3,0.1,0.67626953125,,1,0.9124755859375,,,,,
10,3,0.3,0.134765625,,1,0.5926513671875,,,,,
15,1,0.1,0.7459716796875,,1,0.9969482421875,,,,,
15,1,0.3,0.743896484375,,1,0.9974365234375,,,,,
15,2,0.1,0.753173828125,,1,0.996826171875,,,,,
15,2,0.3,0.03955078125,,1,0.430419921875,,,,,
15,3,0.1,0.4677734375,,1,0.9395751953125,,,,,
15,3,0.3,0.0018310546875,,1,0.1434326171875,,,,,
20,1,0.1,0.6796875,,1,0.9935302734375,,,,,
20,1,0.3,0.705810546875,,1,0.9937744140625,,,,,
20,2,0.1,0.254638671875,,1,0.856689453125,,,,,
20,2,0.3,0.2786865234375,,1,0.8330078125,,,,,
20,3,0.1,0.275390625,,1,0.854248046875,,,,,
20,3,0.3,0.0010986328125,,1,0.1083984375,,,,,
30,1,0.1,0.4542236328125,,1,0.99365234375,,,,,
30,1,0.3,0.46826171875,,1,0.994140625,,,,,
30,2,0.1,0.083251953125,,1,0.70068359375,,,,,
30,2,0.3,0.0,,1,0.017822265625,,,,,
30,3,0.1,0.3175048828125,,1,0.94384765625,,,,,
30,3,0.3,0.0,,1,0.0677490234375,,,,,
50,1,0.1,0.34375,,1,0.9776611328125,,,,,
50,1,0.3,0.3525390625,,1,0.9818115234375,,,,,
50,2,0.1,0.0,,1,0.0048828125,,,,,
50,2,0.3,0.0,,1,0.0008544921875,,,,,
50,3,0.1,0.0,,1,0.0050048828125,,,,,
50,3,0.3,0.0,,1,0.0040283203125,,,,,
70,1,0.1,0.1751708984375,,1,0.916015625,,,,,
70,1,0.3,0.190185546875,,1,0.9248046875,,,,,
70,2,0.1,0.0,,1,0.0098876953125,,,,,
70,2,0.3,0.0001220703125,,1,0.0025634765625,,,,,
70,3,0.1,0.0001220703125,,1,0.0509033203125,,,,,
70,3,0.3,0.0006103515625,,1,0.07373046875,,,,,
127,1,0.1,0.02001953125,,1,0.49609375,,,,,
127,1,0.3,0.0225830078125,,1,0.4921875,,,,,
127,2,0.1,0.0,,1,0.0,,,,,
127,2,0.3,0.0,,1,0.0,,,,,
127,3,0.1,0.0,,1,0.002685546875,,,,,
127,3,0.3,0.0,,1,0.0,,,,,
